checkpoint,train_task,eval_task,variant,seed,phase3,asym_L_median,asym_U_median,A_median,B0_median,gamma,B_median,used_term_norm_median,n_eval
runs/phase2_claimB/phase2_v2_cycle_symmetric_control_v2_normmatched_seed0/checkpoint_final.pt,cycle,cycle,symmetric_control_v2_normmatched,0,False,0.8661052286624908,0.38060951232910156,47.38867950439453,124.63530349731445,0.38021875162694674,47.38867950439453,47.38867950439453,10000
runs/phase2_claimB/phase2_v2_cycle_no_drift_seed0/checkpoint_final.pt,cycle,cycle,no_drift,0,False,1.104296863079071,2.5256567001342773,78.96122741699219,31.576387405395508,2.500641583954596,31.576387405395508,78.96122741699219,10000
runs/phase2_claimB/phase2_v2_cycle_no_injection_seed2/checkpoint_final.pt,cycle,cycle,no_injection,2,False,0.9423927962779999,0.9551989436149597,0.0,0.0,1.0,0.0,0.0,10000
runs/phase2_claimB/phase2_v2_cycle_symmetric_control_v2_normmatched_seed1/checkpoint_final.pt,cycle,cycle,symmetric_control_v2_normmatched,1,False,0.8875765204429626,0.3689712733030319,38.55464172363281,103.89180755615234,0.371103772574122,38.55464172363281,38.55464172363281,10000
runs/phase2_claimB/phase2_v2_cycle_no_drift_seed1/checkpoint_final.pt,cycle,cycle,no_drift,1,False,0.9082531929016113,2.534611225128174,91.76017761230469,36.02695846557617,2.5469865212180403,36.02695846557617,91.76017761230469,10000
runs/phase2_claimB/phase2_v2_cycle_mechanism_seed2/checkpoint_final.pt,cycle,cycle,mechanism,2,False,0.8188122808933258,2.6204322576522827,89.51985549926758,34.06085014343262,2.62823315103097,34.06085014343262,89.51985549926758,10000
runs/phase2_claimB/phase2_v2_cycle_no_injection_seed1/checkpoint_final.pt,cycle,cycle,no_injection,1,False,0.9966687560081482,0.9830394983291626,0.0,0.0,1.0,0.0,0.0,10000
runs/phase2_claimB/phase2_v2_cycle_no_drift_seed2/checkpoint_final.pt,cycle,cycle,no_drift,2,False,0.8441813886165619,2.4933712482452393,89.50988388061523,35.904977798461914,2.4929658606960516,35.904977798461914,89.50988388061523,10000
runs/phase2_claimB/phase2_v2_cycle_no_injection_seed0/checkpoint_final.pt,cycle,cycle,no_injection,0,False,0.8057798743247986,0.9302150011062622,0.0,0.0,1.0,0.0,0.0,10000
runs/phase2_claimB/phase2_v2_cycle_symmetric_control_v2_normmatched_seed2/checkpoint_final.pt,cycle,cycle,symmetric_control_v2_normmatched,2,False,0.8729971647262573,0.3192667067050934,31.164215087890625,97.67438125610352,0.31906232409271823,31.16421508789062,31.16421508789062,10000
runs/phase2_claimB/phase2_v2_cycle_mechanism_seed0/checkpoint_final.pt,cycle,cycle,mechanism,0,False,0.8312342762947083,2.4627866744995117,88.99697494506836,36.05311393737793,2.468496205338898,36.05311393737793,88.99697494506836,10000
runs/phase2_claimB/phase2_v2_cycle_mechanism_seed1/checkpoint_final.pt,cycle,cycle,mechanism,1,False,0.8895400166511536,2.683313488960266,100.69707107543945,37.385019302368164,2.693513951698315,37.385019302368164,100.69707107543945,10000
runs/phase3_learnability/no_injection/seed_2/checkpoint_final.pt,backward,backward,no_injection,2,True,0.9489004611968994,1.0211369395256042,0.0,0.0,1.0,0.0,0.0,10000
runs/phase3_learnability/no_injection/seed_1/checkpoint_final.pt,backward,backward,no_injection,1,True,0.8770327568054199,0.9796824753284454,0.0,0.0,1.0,0.0,0.0,10000
runs/phase3_learnability/no_injection/seed_0/checkpoint_final.pt,backward,backward,no_injection,0,True,0.546395480632782,0.9609720408916473,0.0,0.0,1.0,0.0,0.0,10000
runs/phase3_learnability/mechanism/seed_2/checkpoint_final.pt,backward,backward,mechanism,2,True,0.8509668409824371,1.923963189125061,56.61630821228027,29.273072242736816,1.9340746930424364,29.273072242736816,56.61630821228027,10000
runs/phase3_learnability/mechanism/seed_1/checkpoint_final.pt,backward,backward,mechanism,1,True,0.8909845650196075,3.0294378995895386,104.69828414916992,34.54051399230957,3.031173310636922,34.54051399230957,104.69828414916992,10000
runs/phase3_learnability/mechanism/seed_0/checkpoint_final.pt,backward,backward,mechanism,0,True,0.6687791645526886,2.4146567583084106,96.61555480957031,39.835519790649414,2.4253619713592607,39.835519790649414,96.61555480957031,10000
runs/phase2_claimA_v2/phase2_v2_forward_no_drift_seed2/checkpoint_final.pt,forward,forward,no_drift,2,False,0.8583421111106873,1.8870078325271606,54.11619567871094,28.599953651428223,1.8921777405051314,28.599953651428223,54.11619567871094,10000
runs/phase2_claimA_v2/phase2_v2_forward_no_injection_seed1/checkpoint_final.pt,forward,forward,no_injection,1,False,0.9890106618404388,1.0180723071098328,0.0,0.0,1.0,0.0,0.0,10000
runs/phase2_claimA_v2/phase2_v2_forward_no_injection_seed0/checkpoint_final.pt,forward,forward,no_injection,0,False,0.8225525617599487,0.964552253484726,0.0,0.0,1.0,0.0,0.0,10000
runs/phase2_claimA_v2/phase2_v2_forward_symmetric_control_v2_normmatched_seed2/checkpoint_final.pt,forward,forward,symmetric_control_v2_normmatched,2,False,0.7849873304367065,0.4761902689933777,29.949661254882812,62.809587478637695,0.4768326374547366,29.949661254882812,29.949661254882812,10000
runs/phase2_claimA_v2/phase2_v2_forward_mechanism_seed2/checkpoint_final.pt,forward,forward,mechanism,2,False,0.820920318365097,1.8019234538078308,56.42595863342285,31.28440761566162,1.8036447845403616,31.28440761566162,56.42595863342285,10000
runs/phase2_claimA_v2/phase2_v2_forward_no_drift_seed0/checkpoint_final.pt,forward,forward,no_drift,0,False,0.7827267944812775,1.643282949924469,45.150774002075195,27.48358726501465,1.6428268102959787,27.48358726501465,45.150774002075195,10000
runs/phase2_claimA_v2/phase2_v2_forward_no_drift_seed1/checkpoint_final.pt,forward,forward,no_drift,1,False,0.985998123884201,1.127465307712555,29.47189235687256,26.066323280334473,1.1306501511514433,26.066323280334473,29.47189235687256,10000
runs/phase2_claimA_v2/phase2_v2_forward_no_injection_seed2/checkpoint_final.pt,forward,forward,no_injection,2,False,0.8452949225902557,1.0304074883460999,0.0,0.0,1.0,0.0,0.0,10000
runs/phase2_claimA_v2/phase2_v2_forward_mechanism_seed0/checkpoint_final.pt,forward,forward,mechanism,0,False,0.7711902260780334,1.633053183555603,44.74264717102051,27.410847663879395,1.6322971007562115,27.410847663879395,44.74264717102051,10000
runs/phase2_claimA_v2/phase2_v2_forward_symmetric_control_v2_normmatched_seed1/checkpoint_final.pt,forward,forward,symmetric_control_v2_normmatched,1,False,1.069789469242096,0.7606524527072906,27.42184066772461,36.52359199523926,0.7507980231325266,27.42184066772461,27.42184066772461,10000
runs/phase2_claimA_v2/phase2_v2_forward_mechanism_seed1/checkpoint_final.pt,forward,forward,mechanism,1,False,0.9978727400302887,1.1674492359161377,30.642932891845703,26.090618133544922,1.1744809086162598,26.090618133544922,30.642932891845703,10000
runs/phase2_claimA_v2/phase2_v2_forward_symmetric_control_v2_normmatched_seed0/checkpoint_final.pt,forward,forward,symmetric_control_v2_normmatched,0,False,0.8690494894981384,0.5227447748184204,28.081889152526855,53.87972068786621,0.5211958932602807,28.081889152526855,28.081889152526855,10000
runs/phase3/forward_train/no_injection/seed_2/checkpoint_final.pt,forward,forward,no_injection,2,True,0.79514941573143,1.007064700126648,0.0,0.0,1.0,0.0,0.0,10000
runs/phase3/forward_train/no_injection/seed_1/checkpoint_final.pt,forward,forward,no_injection,1,True,0.986609697341919,1.00669664144516,0.0,0.0,1.0,0.0,0.0,10000
runs/phase3/forward_train/no_injection/seed_0/checkpoint_final.pt,forward,forward,no_injection,0,True,0.9698206186294556,0.9558014273643494,0.0,0.0,1.0,0.0,0.0,10000
runs/phase3/forward_train/mechanism/seed_2/checkpoint_final.pt,forward,forward,mechanism,2,True,0.6372161209583282,2.745726227760315,86.09531021118164,31.296059608459473,2.7509952143594996,31.296059608459473,86.09531021118164,10000
runs/phase3/forward_train/mechanism/seed_1/checkpoint_final.pt,forward,forward,mechanism,1,True,0.7415054738521576,2.8742403984069824,109.02402877807617,37.7379035949707,2.888979471361141,37.7379035949707,109.02402877807617,10000
runs/phase3/forward_train/mechanism/seed_0/checkpoint_final.pt,forward,forward,mechanism,0,True,0.9247755110263824,2.914302706718445,94.20059967041016,32.13920021057129,2.9310187886824113,32.13920021057129,94.20059967041016,10000
runs/phase3b_reverse/train_backward/symmetric_control_v2_normmatched/seed_2/checkpoint_final.pt,backward,backward,symmetric_control_v2_normmatched,2,True,0.5928332507610321,0.1720244139432907,35.24965858459473,207.74868774414062,0.1696745186087892,35.24965858459473,35.24965858459473,10000
