variant,seed,pipeline,regime,metric,ell,mean,median,ci_low,ci_high,accuracy
symmetric_control_v2_normmatched,0,B,0,DeltaCyc,2,0.0051986363121966205,0.004678571713146784,0.005011484130337563,0.0053868462730491135,0.4906
symmetric_control_v2_normmatched,0,B,0,DeltaCyc,3,-0.0016276622497830636,-0.0014501712471913786,-0.0016922563869160596,-0.0015617334718013882,0.4906
symmetric_control_v2_normmatched,0,B,0,DeltaCyc,4,0.0005021106114345218,0.0004313672468423402,0.00047637453775314855,0.0005272448486086256,0.4906
symmetric_control_v2_normmatched,0,B,1,PR,,7.779785920811305,7.999657110877992,7.728525197538616,7.828500037080753,0.4906
symmetric_control_v2_normmatched,0,B,1,DeltaCyc,2,0.004974414820221737,0.004341668949431221,0.0047915097784076415,0.005164309212543549,0.4906
symmetric_control_v2_normmatched,0,B,1,DeltaCyc,3,-0.001594529017843802,-0.0013552623006233278,-0.001659907553341742,-0.001530424061458352,0.4906
symmetric_control_v2_normmatched,0,B,1,DeltaCyc,4,0.0004791583157582953,0.0003856311106032462,0.00045324460049334477,0.0005053736533152832,0.4906
symmetric_control_v2_normmatched,0,B,2,PR,,7.773300271280479,7.99966065504198,7.72036325810639,7.823575708222522,0.4906
symmetric_control_v2_normmatched,0,B,2,DeltaCyc,2,0.004913748625037347,0.004191140926445125,0.004732200704729554,0.005097138207233925,0.4906
symmetric_control_v2_normmatched,0,B,2,DeltaCyc,3,-0.001573616406695509,-0.0013069180893827415,-0.001641848260817178,-0.0015070800357906804,0.4906
symmetric_control_v2_normmatched,0,B,2,DeltaCyc,4,0.0004794810708644434,0.00038882210169555176,0.0004522459597422848,0.0005073627003972709,0.4906
symmetric_control_v2_normmatched,0,B,3,PR,,7.737209802177659,7.999589683925123,7.682268002647765,7.79043418958313,0.4906
symmetric_control_v2_normmatched,0,B,3,DeltaCyc,2,0.0049865444987922825,0.004576728509474437,0.004808266173769157,0.005171240157467916,0.4906
symmetric_control_v2_normmatched,0,B,3,DeltaCyc,3,-0.0016109397621747838,-0.0014267047148519563,-0.0016772683531913865,-0.001546102958702013,0.4906
symmetric_control_v2_normmatched,0,B,3,DeltaCyc,4,0.0004920180801558762,0.0004109011108789917,0.0004658852099678595,0.0005185612575253283,0.4906
symmetric_control_v2_normmatched,1,A,0,PR,,7.95442398226579,7.988138691112313,7.9437451856377965,7.962103837324703,0.4667
symmetric_control_v2_normmatched,1,A,0,DeltaCyc,2,0.06634830654951701,0.06346609462263259,0.06431691628784385,0.06832071945965029,0.4667
symmetric_control_v2_normmatched,1,A,0,DeltaCyc,3,-0.020763480121267493,-0.020187962328627157,-0.021496026823592054,-0.020011435750407546,0.4667
symmetric_control_v2_normmatched,1,A,0,DeltaCyc,4,0.008092536858622433,0.007436790991496134,0.007718275499036111,0.008461846466824996,0.4667
symmetric_control_v2_normmatched,1,A,1,PR,,7.955496747441045,7.989623472996804,7.941953345838278,7.966579840572049,0.4667
symmetric_control_v2_normmatched,1,A,1,DeltaCyc,2,0.06372067191131174,0.05999002523234692,0.06176060735305693,0.06568545121936775,0.4667
symmetric_control_v2_normmatched,1,A,1,DeltaCyc,3,-0.020328727587057453,-0.019514626193182588,-0.021075718953685388,-0.01959031850302089,0.4667
symmetric_control_v2_normmatched,1,A,1,DeltaCyc,4,0.007747648651333892,0.00692858029558302,0.007396012780952245,0.008109114580219874,0.4667
symmetric_control_v2_normmatched,1,A,2,PR,,7.963713576827915,7.989848350437752,7.955980625090245,7.96889121730229,0.4667
symmetric_control_v2_normmatched,1,A,2,DeltaCyc,2,0.06558458632660727,0.0626729056300318,0.06364277892741392,0.06751651414794833,0.4667
symmetric_control_v2_normmatched,1,A,2,DeltaCyc,3,-0.020852965290896416,-0.02009356673553256,-0.02156763094893704,-0.020152020441741383,0.4667
symmetric_control_v2_normmatched,1,A,2,DeltaCyc,4,0.007904279357583694,0.007044522815213089,0.007545830461956147,0.008265438778070103,0.4667
symmetric_control_v2_normmatched,1,A,3,PR,,7.955293944433816,7.989810728936026,7.941243912635481,7.966634382641928,0.4667
symmetric_control_v2_normmatched,1,A,3,DeltaCyc,2,0.06477708680434811,0.06150062069975848,0.06295107174966098,0.0666456637984846,0.4667
symmetric_control_v2_normmatched,1,A,3,DeltaCyc,3,-0.020571737288424027,-0.019538330493899164,-0.02125706680245705,-0.019874560288769303,0.4667
symmetric_control_v2_normmatched,1,A,3,DeltaCyc,4,0.007866483188531961,0.007200359960629454,0.007517710276419676,0.008209816672482533,0.4667
symmetric_control_v2_normmatched,1,B,0,PR,,7.965994499512303,7.99715216149579,7.949092065272776,7.979698884687988,0.4667
symmetric_control_v2_normmatched,1,B,0,DeltaCyc,2,0.009598651175140232,0.009294436642546977,0.009328667708243182,0.009870962811337742,0.4667
symmetric_control_v2_normmatched,1,B,0,DeltaCyc,3,-0.002463000469443061,-0.002349082960076021,-0.0025635253968714442,-0.002363017108654135,0.4667
symmetric_control_v2_normmatched,1,B,0,DeltaCyc,4,0.000883034049960572,0.0008668403932785562,0.0008371409483206623,0.000928338651306499,0.4667
symmetric_control_v2_normmatched,1,B,1,PR,,7.947707267576087,7.9974733960082975,7.924925989690696,7.967613743371471,0.4667
symmetric_control_v2_normmatched,1,B,1,DeltaCyc,2,0.00941820700343083,0.009170911057532871,0.009142154142468613,0.009695635176124373,0.4667
